what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952193471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952194085
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952194452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952195105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952195921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952231656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952239634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952247272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952249433
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415952252778
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415952252813
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1415952252822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952253017
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952280217
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952303982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952309610
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952319368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952333399
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952348820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952349288
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952364833
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952366865
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952367736
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952368022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952368589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952370976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952373541
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952376518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952377043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952377463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952380424
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415952383195
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415952383208
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1415952383208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952383404
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1415952385987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952386001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1415952398234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415952399010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952407425
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952408046
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415952410032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952412366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952467987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952468794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952471859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952472696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952662952
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415952665394
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415952674495
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952684321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952684869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952685668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952685964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952719853
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415952725393
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1415952725403
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1415952732700
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415952736752
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952745684
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952750953
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415952752423
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1415952769079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1415952769821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1415952770602
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952785084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952785604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952791873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952793396
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952799576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952800462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952803389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952803849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952804281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952804679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952810212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952810733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952830960
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952831892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952833849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952834700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952836041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952852727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952853227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952853695
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952854905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952855515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952860231
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952865075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952865619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952879927
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952892963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952893392
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952898112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952907086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952907580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952907919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952929827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952930965
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952931586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415952935620
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415952951489
