what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958351737
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415958353076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958353101
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415958353166
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415958353166
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415958354442
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415958355705
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415958356520
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415958357305
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415958358171
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415958360487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958373227
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1415958412997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958413007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958692121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958692506
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415958697127
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415958698780
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1415958701514
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958709013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958746952
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415958771596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415958786010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415958787430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415958797102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415958799261
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958824613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958825029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415958825460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415959865559
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1415959867689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1415959881475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1415959881754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1415959882235
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1415959882989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415959892952
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415959895902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1415959910212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415959913488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415959922609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415959923038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1415959947151
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1415959958729
